server_bandwidth_Bps,server_bandwidth_GiB_s,client_bandwidth_Bps,client_bandwidth_GiB_s,run,backend,kernel,mtu,read_bytes,duration,num_sockets,num_workers,num_ssds,request_size,stripe_size,reg_ring,reg_fds,reg_bufs,napi,send_zc,pin_queues,server,client
47689058589,44.4139,49410502047,46.0171,0,epoll_libaio,6.15.0-rc7,9000,,30000,32,32,8,524288,524288,False,False,False,False,False,False,fn01,fn03
47728034135,44.4502,49424569438,46.0302,0,epoll_libaio,6.15.0-rc7,9000,,30000,32,64,8,65536,65536,False,False,False,False,False,False,fn01,fn03
47615468163,44.3454,49423385186,46.0291,0,epoll_libaio,6.15.0-rc7,9000,,30000,32,64,8,524288,524288,False,False,False,False,False,False,fn01,fn03
5061589665,4.71397,5061787294,4.71416,0,io_uring,6.15.0-rc7,9000,,30000,32,4,8,16384,16384,False,False,False,False,False,False,fn01,fn03
8970899116,8.3548,8968880671,8.35292,0,io_uring,6.15.0-rc7,9000,,30000,32,8,8,16384,16384,False,False,False,False,False,False,fn01,fn03
15820770515,14.7342,15817049812,14.7308,0,io_uring,6.15.0-rc7,9000,,30000,32,16,8,16384,16384,False,False,False,False,False,False,fn01,fn03
27415478708,25.5327,27413856365,25.5311,0,io_uring,6.15.0-rc7,9000,,30000,32,32,8,16384,16384,False,False,False,False,False,False,fn01,fn03
27502854408,25.614,27510379131,25.621,0,io_uring,6.15.0-rc7,9000,,30000,32,64,8,16384,16384,False,False,False,False,False,False,fn01,fn03
1097954006,1.02255,1133241878,1.05541,0,epoll_libaio,6.15.0-rc7,9000,,30000,32,1,8,16384,16384,False,False,False,False,False,False,fn01,fn03
2265752224,2.11015,2340452356,2.17972,0,epoll_libaio,6.15.0-rc7,9000,,30000,32,2,8,16384,16384,False,False,False,False,False,False,fn01,fn03
4095805041,3.81452,4232801954,3.9421,0,epoll_libaio,6.15.0-rc7,9000,,30000,32,4,8,16384,16384,False,False,False,False,False,False,fn01,fn03
7629342826,7.10538,7882439837,7.34109,0,epoll_libaio,6.15.0-rc7,9000,,30000,32,8,8,16384,16384,False,False,False,False,False,False,fn01,fn03
13516777122,12.5885,13974811112,13.0151,0,epoll_libaio,6.15.0-rc7,9000,,30000,32,16,8,16384,16384,False,False,False,False,False,False,fn01,fn03
24402933878,22.727,25240283414,23.5068,0,epoll_libaio,6.15.0-rc7,9000,,30000,32,32,8,16384,16384,False,False,False,False,False,False,fn01,fn03
24390414617,22.7153,25244775018,23.511,0,epoll_libaio,6.15.0-rc7,9000,,30000,32,64,8,16384,16384,False,False,False,False,False,False,fn01,fn03
1442651966,1.34357,1444623796,1.34541,0,io_uring,6.15.0-rc7,9000,,30000,32,1,8,16384,16384,True,True,True,False,False,False,fn01,fn03
3326080589,3.09765,3329955168,3.10126,0,io_uring,6.15.0-rc7,9000,,30000,32,1,8,65536,65536,True,True,True,False,False,False,fn01,fn03
2985971110,2.7809,2989897897,2.78456,0,io_uring,6.15.0-rc7,9000,,30000,32,2,8,16384,16384,True,True,True,False,False,False,fn01,fn03
6343101262,5.90747,6351691157,5.91547,0,io_uring,6.15.0-rc7,9000,,30000,32,2,8,65536,65536,True,True,True,False,False,False,fn01,fn03
5398205552,5.02747,5403759177,5.03264,0,io_uring,6.15.0-rc7,9000,,30000,32,4,8,16384,16384,True,True,True,False,False,False,fn01,fn03
10614401310,9.88543,10627655088,9.89778,0,io_uring,6.15.0-rc7,9000,,30000,32,4,8,65536,65536,True,True,True,False,False,False,fn01,fn03
9739435629,9.07056,9750551264,9.08091,0,io_uring,6.15.0-rc7,9000,,30000,32,8,8,16384,16384,True,True,True,False,False,False,fn01,fn03
16907156933,15.746,16927881708,15.7653,0,io_uring,6.15.0-rc7,9000,,30000,32,8,8,65536,65536,True,True,True,False,False,False,fn01,fn03
16523577544,15.3888,16540119347,15.4042,0,io_uring,6.15.0-rc7,9000,,30000,32,16,8,16384,16384,True,True,True,False,False,False,fn01,fn03
26608853747,24.7814,26642564796,24.8128,0,io_uring,6.15.0-rc7,9000,,30000,32,16,8,65536,65536,True,True,True,False,False,False,fn01,fn03
