run,cycles,runtime,ops_per_sec,kernel,mitigations,node,ssd,core_id,reg_ring,reg_fds,reg_bufs,iopoll,duration,perfevent,measure_lat,pin_iowq,max_workers,setup_mode,write_size,method,ioworker,lat_avg,lat_min,lat_max,lat_std,lat_samples,ops_avg,ops_min,ops_max,ops_std,ops_samples
0,66008204258,27.5034,101337,6.8.0-63-generic,True,c08,/dev/nvme3n1,32,True,True,False,True,30000,False,True,False,0,defer,4096,none,0,9928.09958506224,9665,10243,154.3636328985994,241,9293.182572614109,9260,9437,45.00861912868782,241
1,66007690250,27.5032,625.563,6.8.0-63-generic,True,c08,/dev/nvme3n1,32,True,True,False,False,30000,False,True,False,0,sqpoll,4096,fsync_link,1,1589170.1286307054,1549286,1617777,19365.886020874324,241,57.53941908713693,56,58,0.5828657157727095,241
1,66006512528,27.5027,625.284,6.8.0-63-generic,True,c08,/dev/nvme3n1,32,True,True,False,False,30000,False,True,False,0,sqpoll,4096,fsync_link2,1,1589917.9668049794,1551320,1625059,19407.211714036122,241,57.52697095435685,56,58,0.6045288580665018,241
1,66008138848,27.5034,249.46,6.8.0-63-generic,True,c08,/dev/nvme3n1,32,True,True,False,False,30000,False,True,False,0,sqpoll,4096,open_sync,0,3929502.012448133,3869417,3980647,32688.68487743798,241,23.12448132780083,21,24,0.7295356340526442,241
1,66007878826,27.5033,254.115,6.8.0-63-generic,True,c08,/dev/nvme3n1,32,True,True,False,False,30000,False,True,False,0,sqpoll,4096,open_dsync,0,3932283.9751037345,3876654,3981290,31788.802844683145,241,23.315352697095435,23,24,0.4646561885201467,241
1,66007041264,27.5029,254.191,6.8.0-63-generic,True,c08,/dev/nvme3n1,32,True,True,False,False,30000,False,True,False,0,sqpoll,4096,write_sync,0,3928852.991701245,3874422,3975885,29308.4570439777,241,23.319502074688796,23,24,0.46628371080100073,241
1,66003760246,27.5016,254.24,6.8.0-63-generic,True,c08,/dev/nvme3n1,32,True,True,False,False,30000,False,True,False,0,sqpoll,4096,write_dsync,0,3927027.5601659752,3860043,3979229,31517.685187433748,241,23.319502074688796,23,24,0.46628371080100073,241
1,66007375562,27.5031,102674,6.8.0-63-generic,True,c08,/dev/ng3n1,32,True,True,False,False,30000,False,True,False,0,sqpoll,4096,nvme_passthru,0,9723.556016597511,9525,10062,131.97201221232106,241,9433.02489626556,9404,9454,13.783424199580733,241
1,66007217198,27.503,628.44,6.8.0-63-generic,True,c08,/dev/ng3n1,32,True,True,False,False,30000,False,True,False,0,sqpoll,4096,nvme_passthru_flush,0,1587104.0,1551282,1614816,18615.33710885593,241,57.75103734439834,57,58,0.4324121317879844,241
1,66006406900,27.5027,102031,6.8.0-63-generic,True,c08,/dev/nvme3n1,32,True,True,False,True,30000,False,True,False,0,defer,4096,none,0,9807.190871369294,9578,10121,145.01780145294185,241,9367.721991701244,9283,9422,46.9073587483544,241
1,66007964704,27.5033,254.188,6.8.0-63-generic,True,c08,/dev/nvme3n1,32,True,True,False,True,30000,False,True,False,0,defer,4096,open_sync,0,3931243.0373443984,3883973,3982523,27651.295130928178,241,23.323651452282157,23,24,0.46786877403584853,241
1,66007677218,27.5032,254.116,6.8.0-63-generic,True,c08,/dev/nvme3n1,32,True,True,False,True,30000,False,True,False,0,defer,4096,open_dsync,0,3931886.950207469,3866472,3983575,30686.932117394917,241,23.307053941908713,23,24,0.4612719573820133,241
1,66007766432,27.5032,254.188,6.8.0-63-generic,True,c08,/dev/nvme3n1,32,True,True,False,True,30000,False,True,False,0,defer,4096,write_sync,0,3928220.2365145227,3886190,3986018,28669.6198610525,241,23.315352697095435,23,24,0.4646561885201467,241
1,65999949610,27.5,254.109,6.8.0-63-generic,True,c08,/dev/nvme3n1,32,True,True,False,True,30000,False,True,False,0,defer,4096,write_dsync,0,3933675.7012448134,3881916,3983557,29047.694404652808,241,23.315352697095435,23,24,0.4646561885201467,241
1,66000699754,27.5003,591.703,6.8.0-63-generic,True,c08,/dev/nvme3n1,32,True,True,False,True,30000,False,True,False,0,defer,4096,fsync_link2,0,1680949.3236514523,1590206,1752599,42379.52720235621,241,54.448132780082986,54,55,0.4973025150731497,241
1,66006231540,27.5026,104392,6.8.0-63-generic,True,c08,/dev/ng3n1,32,True,True,False,True,30000,False,True,False,0,defer,4096,nvme_passthru,0,9525.763485477179,9383,9779,109.16616286570854,241,9583.663900414938,9554,9600,11.281714345022962,241
