tag,method,iodirect,ms
large_4w_256io_mode5,io_uring,data+wal,7046.999
large_4w_256io_mode5,io_uring,data+wal,6990.040
large_4w_256io_mode5,io_uring,data+wal,6958.610
large_4w_256io_mode5,io_uring,data+wal,6994.871
large_4w_256io_mode5,io_uring,data+wal,6904.839
large_4w_256io_mode5,io_uring,data+wal,7291.948
large_4w_256io_mode5,io_uring,data+wal,6860.838
large_4w_256io_mode5,io_uring,data+wal,6890.577
large_4w_256io_mode5,io_uring,data+wal,7000.873
large_4w_256io_mode6,io_uring,data+wal,7028.968
large_4w_256io_mode6,io_uring,data+wal,7032.304
large_4w_256io_mode6,io_uring,data+wal,7018.474
large_4w_256io_mode6,io_uring,data+wal,6996.670
large_4w_256io_mode6,io_uring,data+wal,6910.417
large_4w_256io_mode6,io_uring,data+wal,6916.642
large_4w_256io_mode6,io_uring,data+wal,6978.960
large_4w_256io_mode6,io_uring,data+wal,8297.856
large_4w_256io_mode6,io_uring,data+wal,6877.809
large_4w_256io_mode6,io_uring,data+wal,6871.002
large_4w_256io_mode7,io_uring,data+wal,7447.939
large_4w_256io_mode7,io_uring,data+wal,7350.400
large_4w_256io_mode7,io_uring,data+wal,7571.380
large_4w_256io_mode7,io_uring,data+wal,7383.360
large_4w_256io_mode7,io_uring,data+wal,7318.967
large_4w_256io_mode7,io_uring,data+wal,7614.314
large_4w_256io_mode7,io_uring,data+wal,7467.271
large_4w_256io_mode7,io_uring,data+wal,7370.345
large_4w_256io_mode7,io_uring,data+wal,7373.897
large_4w_256io_mode7,io_uring,data+wal,7493.805
large_8w_256io_mode0,io_uring,data+wal,3988.686
large_8w_256io_mode0,io_uring,data+wal,4002.040
large_8w_256io_mode0,io_uring,data+wal,3968.901
large_8w_256io_mode0,io_uring,data+wal,4078.969
large_8w_256io_mode0,io_uring,data+wal,4006.595
large_8w_256io_mode0,io_uring,data+wal,4038.740
large_8w_256io_mode0,io_uring,data+wal,3991.136
large_8w_256io_mode0,io_uring,data+wal,4016.763
