iops,cycles,instructions,taskclk,l1_misses,llc_misses,branch_misses,scale,ipc,cpus,ghz,run,mode,posix,libaio,reg_ring,reg_fds,reg_bufs,nvme_cmds,iopoll,num_threads,core_id,num_ssds,perfevent,write,duration,ssd_size,iodepth,bs,batch_submit,batch_complete,kernel,mitigations,node,tid,ioworker
317120,,,,,,,,,,,0,defer,False,False,False,False,False,False,False,64,64,8,False,False,10,1099511627776,512,4096,32,32,6.15.0-rc7,True,fn01,2,0
317952,,,,,,,,,,,0,defer,False,False,False,False,False,False,False,64,64,8,False,False,10,1099511627776,512,4096,32,32,6.15.0-rc7,True,fn01,3,0
318272,,,,,,,,,,,0,defer,False,False,False,False,False,False,False,64,64,8,False,False,10,1099511627776,512,4096,32,32,6.15.0-rc7,True,fn01,4,0
318048,,,,,,,,,,,0,defer,False,False,False,False,False,False,False,64,64,8,False,False,10,1099511627776,512,4096,32,32,6.15.0-rc7,True,fn01,5,0
317536,,,,,,,,,,,0,defer,False,False,False,False,False,False,False,64,64,8,False,False,10,1099511627776,512,4096,32,32,6.15.0-rc7,True,fn01,6,0
316896,,,,,,,,,,,0,defer,False,False,False,False,False,False,False,64,64,8,False,False,10,1099511627776,512,4096,32,32,6.15.0-rc7,True,fn01,7,0
317152,,,,,,,,,,,0,defer,False,False,False,False,False,False,False,64,64,8,False,False,10,1099511627776,512,4096,32,32,6.15.0-rc7,True,fn01,8,0
319712,,,,,,,,,,,0,defer,False,False,False,False,False,False,False,64,64,8,False,False,10,1099511627776,512,4096,32,32,6.15.0-rc7,True,fn01,9,0
319136,,,,,,,,,,,0,defer,False,False,False,False,False,False,False,64,64,8,False,False,10,1099511627776,512,4096,32,32,6.15.0-rc7,True,fn01,10,0
316928,,,,,,,,,,,0,defer,False,False,False,False,False,False,False,64,64,8,False,False,10,1099511627776,512,4096,32,32,6.15.0-rc7,True,fn01,11,0
317440,,,,,,,,,,,0,defer,False,False,False,False,False,False,False,64,64,8,False,False,10,1099511627776,512,4096,32,32,6.15.0-rc7,True,fn01,12,0
323328,,,,,,,,,,,0,defer,False,False,False,False,False,False,False,64,64,8,False,False,10,1099511627776,512,4096,32,32,6.15.0-rc7,True,fn01,13,0
318048,,,,,,,,,,,0,defer,False,False,False,False,False,False,False,64,64,8,False,False,10,1099511627776,512,4096,32,32,6.15.0-rc7,True,fn01,14,0
317664,,,,,,,,,,,0,defer,False,False,False,False,False,False,False,64,64,8,False,False,10,1099511627776,512,4096,32,32,6.15.0-rc7,True,fn01,15,0
317984,,,,,,,,,,,0,defer,False,False,False,False,False,False,False,64,64,8,False,False,10,1099511627776,512,4096,32,32,6.15.0-rc7,True,fn01,16,0
320704,,,,,,,,,,,0,defer,False,False,False,False,False,False,False,64,64,8,False,False,10,1099511627776,512,4096,32,32,6.15.0-rc7,True,fn01,17,0
320192,,,,,,,,,,,0,defer,False,False,False,False,False,False,False,64,64,8,False,False,10,1099511627776,512,4096,32,32,6.15.0-rc7,True,fn01,18,0
319712,,,,,,,,,,,0,defer,False,False,False,False,False,False,False,64,64,8,False,False,10,1099511627776,512,4096,32,32,6.15.0-rc7,True,fn01,19,0
318592,,,,,,,,,,,0,defer,False,False,False,False,False,False,False,64,64,8,False,False,10,1099511627776,512,4096,32,32,6.15.0-rc7,True,fn01,20,0
317952,,,,,,,,,,,0,defer,False,False,False,False,False,False,False,64,64,8,False,False,10,1099511627776,512,4096,32,32,6.15.0-rc7,True,fn01,21,0
317440,,,,,,,,,,,0,defer,False,False,False,False,False,False,False,64,64,8,False,False,10,1099511627776,512,4096,32,32,6.15.0-rc7,True,fn01,22,0
317792,,,,,,,,,,,0,defer,False,False,False,False,False,False,False,64,64,8,False,False,10,1099511627776,512,4096,32,32,6.15.0-rc7,True,fn01,23,0
316608,,,,,,,,,,,0,defer,False,False,False,False,False,False,False,64,64,8,False,False,10,1099511627776,512,4096,32,32,6.15.0-rc7,True,fn01,24,0
320640,,,,,,,,,,,0,defer,False,False,False,False,False,False,False,64,64,8,False,False,10,1099511627776,512,4096,32,32,6.15.0-rc7,True,fn01,25,0
319392,,,,,,,,,,,0,defer,False,False,False,False,False,False,False,64,64,8,False,False,10,1099511627776,512,4096,32,32,6.15.0-rc7,True,fn01,26,0
319488,,,,,,,,,,,0,defer,False,False,False,False,False,False,False,64,64,8,False,False,10,1099511627776,512,4096,32,32,6.15.0-rc7,True,fn01,27,0
318464,,,,,,,,,,,0,defer,False,False,False,False,False,False,False,64,64,8,False,False,10,1099511627776,512,4096,32,32,6.15.0-rc7,True,fn01,28,0
318656,,,,,,,,,,,0,defer,False,False,False,False,False,False,False,64,64,8,False,False,10,1099511627776,512,4096,32,32,6.15.0-rc7,True,fn01,29,0
318368,,,,,,,,,,,0,defer,False,False,False,False,False,False,False,64,64,8,False,False,10,1099511627776,512,4096,32,32,6.15.0-rc7,True,fn01,30,0
316416,,,,,,,,,,,0,defer,False,False,False,False,False,False,False,64,64,8,False,False,10,1099511627776,512,4096,32,32,6.15.0-rc7,True,fn01,31,0
317600,,,,,,,,,,,0,defer,False,False,False,False,False,False,False,64,64,8,False,False,10,1099511627776,512,4096,32,32,6.15.0-rc7,True,fn01,32,0
307904,,,,,,,,,,,0,defer,False,False,False,False,False,False,False,64,64,8,False,False,10,1099511627776,512,4096,32,32,6.15.0-rc7,True,fn01,33,0
316352,,,,,,,,,,,0,defer,False,False,False,False,False,False,False,64,64,8,False,False,10,1099511627776,512,4096,32,32,6.15.0-rc7,True,fn01,34,0
307808,,,,,,,,,,,0,defer,False,False,False,False,False,False,False,64,64,8,False,False,10,1099511627776,512,4096,32,32,6.15.0-rc7,True,fn01,35,0
317536,,,,,,,,,,,0,defer,False,False,False,False,False,False,False,64,64,8,False,False,10,1099511627776,512,4096,32,32,6.15.0-rc7,True,fn01,36,0
304768,,,,,,,,,,,0,defer,False,False,False,False,False,False,False,64,64,8,False,False,10,1099511627776,512,4096,32,32,6.15.0-rc7,True,fn01,37,0
314848,,,,,,,,,,,0,defer,False,False,False,False,False,False,False,64,64,8,False,False,10,1099511627776,512,4096,32,32,6.15.0-rc7,True,fn01,38,0
304512,,,,,,,,,,,0,defer,False,False,False,False,False,False,False,64,64,8,False,False,10,1099511627776,512,4096,32,32,6.15.0-rc7,True,fn01,39,0
313632,,,,,,,,,,,0,defer,False,False,False,False,False,False,False,64,64,8,False,False,10,1099511627776,512,4096,32,32,6.15.0-rc7,True,fn01,40,0
303616,,,,,,,,,,,0,defer,False,False,False,False,False,False,False,64,64,8,False,False,10,1099511627776,512,4096,32,32,6.15.0-rc7,True,fn01,41,0
316896,,,,,,,,,,,0,defer,False,False,False,False,False,False,False,64,64,8,False,False,10,1099511627776,512,4096,32,32,6.15.0-rc7,True,fn01,42,0
304256,,,,,,,,,,,0,defer,False,False,False,False,False,False,False,64,64,8,False,False,10,1099511627776,512,4096,32,32,6.15.0-rc7,True,fn01,43,0
316192,,,,,,,,,,,0,defer,False,False,False,False,False,False,False,64,64,8,False,False,10,1099511627776,512,4096,32,32,6.15.0-rc7,True,fn01,44,0
303776,,,,,,,,,,,0,defer,False,False,False,False,False,False,False,64,64,8,False,False,10,1099511627776,512,4096,32,32,6.15.0-rc7,True,fn01,45,0
316640,,,,,,,,,,,0,defer,False,False,False,False,False,False,False,64,64,8,False,False,10,1099511627776,512,4096,32,32,6.15.0-rc7,True,fn01,46,0
302848,,,,,,,,,,,0,defer,False,False,False,False,False,False,False,64,64,8,False,False,10,1099511627776,512,4096,32,32,6.15.0-rc7,True,fn01,47,0
313440,,,,,,,,,,,0,defer,False,False,False,False,False,False,False,64,64,8,False,False,10,1099511627776,512,4096,32,32,6.15.0-rc7,True,fn01,48,0
301504,,,,,,,,,,,0,defer,False,False,False,False,False,False,False,64,64,8,False,False,10,1099511627776,512,4096,32,32,6.15.0-rc7,True,fn01,49,0
312448,,,,,,,,,,,0,defer,False,False,False,False,False,False,False,64,64,8,False,False,10,1099511627776,512,4096,32,32,6.15.0-rc7,True,fn01,50,0
302848,,,,,,,,,,,0,defer,False,False,False,False,False,False,False,64,64,8,False,False,10,1099511627776,512,4096,32,32,6.15.0-rc7,True,fn01,51,0
310752,,,,,,,,,,,0,defer,False,False,False,False,False,False,False,64,64,8,False,False,10,1099511627776,512,4096,32,32,6.15.0-rc7,True,fn01,52,0
299712,,,,,,,,,,,0,defer,False,False,False,False,False,False,False,64,64,8,False,False,10,1099511627776,512,4096,32,32,6.15.0-rc7,True,fn01,53,0
307936,,,,,,,,,,,0,defer,False,False,False,False,False,False,False,64,64,8,False,False,10,1099511627776,512,4096,32,32,6.15.0-rc7,True,fn01,54,0
300480,,,,,,,,,,,0,defer,False,False,False,False,False,False,False,64,64,8,False,False,10,1099511627776,512,4096,32,32,6.15.0-rc7,True,fn01,55,0
304672,,,,,,,,,,,0,defer,False,False,False,False,False,False,False,64,64,8,False,False,10,1099511627776,512,4096,32,32,6.15.0-rc7,True,fn01,56,0
297472,,,,,,,,,,,0,defer,False,False,False,False,False,False,False,64,64,8,False,False,10,1099511627776,512,4096,32,32,6.15.0-rc7,True,fn01,57,0
304352,,,,,,,,,,,0,defer,False,False,False,False,False,False,False,64,64,8,False,False,10,1099511627776,512,4096,32,32,6.15.0-rc7,True,fn01,58,0
298752,,,,,,,,,,,0,defer,False,False,False,False,False,False,False,64,64,8,False,False,10,1099511627776,512,4096,32,32,6.15.0-rc7,True,fn01,59,0
305856,,,,,,,,,,,0,defer,False,False,False,False,False,False,False,64,64,8,False,False,10,1099511627776,512,4096,32,32,6.15.0-rc7,True,fn01,60,0
299808,,,,,,,,,,,0,defer,False,False,False,False,False,False,False,64,64,8,False,False,10,1099511627776,512,4096,32,32,6.15.0-rc7,True,fn01,61,0
306496,,,,,,,,,,,0,defer,False,False,False,False,False,False,False,64,64,8,False,False,10,1099511627776,512,4096,32,32,6.15.0-rc7,True,fn01,62,0
300480,,,,,,,,,,,0,defer,False,False,False,False,False,False,False,64,64,8,False,False,10,1099511627776,512,4096,32,32,6.15.0-rc7,True,fn01,63,0
381152,,,,,,,,,,,0,defer,False,True,False,False,False,False,False,1,64,8,False,False,10,1099511627776,512,4096,32,32,6.15.0-rc7,True,fn01,0,0
380064,,,,,,,,,,,0,defer,False,True,False,False,False,False,False,2,64,8,False,False,10,1099511627776,512,4096,32,32,6.15.0-rc7,True,fn01,0,0
379584,,,,,,,,,,,0,defer,False,True,False,False,False,False,False,2,64,8,False,False,10,1099511627776,512,4096,32,32,6.15.0-rc7,True,fn01,1,0
377216,,,,,,,,,,,0,defer,False,True,False,False,False,False,False,4,64,8,False,False,10,1099511627776,512,4096,32,32,6.15.0-rc7,True,fn01,0,0
376736,,,,,,,,,,,0,defer,False,True,False,False,False,False,False,4,64,8,False,False,10,1099511627776,512,4096,32,32,6.15.0-rc7,True,fn01,1,0
377152,,,,,,,,,,,0,defer,False,True,False,False,False,False,False,4,64,8,False,False,10,1099511627776,512,4096,32,32,6.15.0-rc7,True,fn01,2,0
376960,,,,,,,,,,,0,defer,False,True,False,False,False,False,False,4,64,8,False,False,10,1099511627776,512,4096,32,32,6.15.0-rc7,True,fn01,3,0
370688,,,,,,,,,,,0,defer,False,True,False,False,False,False,False,8,64,8,False,False,10,1099511627776,512,4096,32,32,6.15.0-rc7,True,fn01,0,0
370528,,,,,,,,,,,0,defer,False,True,False,False,False,False,False,8,64,8,False,False,10,1099511627776,512,4096,32,32,6.15.0-rc7,True,fn01,1,0
370304,,,,,,,,,,,0,defer,False,True,False,False,False,False,False,8,64,8,False,False,10,1099511627776,512,4096,32,32,6.15.0-rc7,True,fn01,2,0
370432,,,,,,,,,,,0,defer,False,True,False,False,False,False,False,8,64,8,False,False,10,1099511627776,512,4096,32,32,6.15.0-rc7,True,fn01,3,0
369728,,,,,,,,,,,0,defer,False,True,False,False,False,False,False,8,64,8,False,False,10,1099511627776,512,4096,32,32,6.15.0-rc7,True,fn01,4,0
370048,,,,,,,,,,,0,defer,False,True,False,False,False,False,False,8,64,8,False,False,10,1099511627776,512,4096,32,32,6.15.0-rc7,True,fn01,5,0
369536,,,,,,,,,,,0,defer,False,True,False,False,False,False,False,8,64,8,False,False,10,1099511627776,512,4096,32,32,6.15.0-rc7,True,fn01,6,0
368896,,,,,,,,,,,0,defer,False,True,False,False,False,False,False,8,64,8,False,False,10,1099511627776,512,4096,32,32,6.15.0-rc7,True,fn01,7,0
355872,,,,,,,,,,,0,defer,False,True,False,False,False,False,False,16,64,8,False,False,10,1099511627776,512,4096,32,32,6.15.0-rc7,True,fn01,0,0
355392,,,,,,,,,,,0,defer,False,True,False,False,False,False,False,16,64,8,False,False,10,1099511627776,512,4096,32,32,6.15.0-rc7,True,fn01,1,0
355840,,,,,,,,,,,0,defer,False,True,False,False,False,False,False,16,64,8,False,False,10,1099511627776,512,4096,32,32,6.15.0-rc7,True,fn01,2,0
355488,,,,,,,,,,,0,defer,False,True,False,False,False,False,False,16,64,8,False,False,10,1099511627776,512,4096,32,32,6.15.0-rc7,True,fn01,3,0
354368,,,,,,,,,,,0,defer,False,True,False,False,False,False,False,16,64,8,False,False,10,1099511627776,512,4096,32,32,6.15.0-rc7,True,fn01,4,0
355104,,,,,,,,,,,0,defer,False,True,False,False,False,False,False,16,64,8,False,False,10,1099511627776,512,4096,32,32,6.15.0-rc7,True,fn01,5,0
354592,,,,,,,,,,,0,defer,False,True,False,False,False,False,False,16,64,8,False,False,10,1099511627776,512,4096,32,32,6.15.0-rc7,True,fn01,6,0
354272,,,,,,,,,,,0,defer,False,True,False,False,False,False,False,16,64,8,False,False,10,1099511627776,512,4096,32,32,6.15.0-rc7,True,fn01,7,0
348288,,,,,,,,,,,0,defer,False,True,False,False,False,False,False,16,64,8,False,False,10,1099511627776,512,4096,32,32,6.15.0-rc7,True,fn01,8,0
355072,,,,,,,,,,,0,defer,False,True,False,False,False,False,False,16,64,8,False,False,10,1099511627776,512,4096,32,32,6.15.0-rc7,True,fn01,9,0
