run,duration,connections,workload,flags,kernel,mitigations,mtu,node,core_id,num_threads,size,pin_queues,bw_avg,bw_min,bw_max,bw_std,bw_samples,perf_cycles,perf_kcycles,perf_instructions,perf_L1-misses,perf_LLC-misses,perf_branch-misses,perf_task-clock,perf_scale,perf_IPC,perf_CPUs,perf_GHz
0,30000,1,send,RF---Z,6.15.0,True,9000,fn05,3,1,64,True,46782621.538461536,41943040,50331648,4144370.0296634976,26,77.6314,75.4771,74.8637,0.6116,0.0584,1.5299,21.1237,1416343680,0.9643,0.9994,3.6751
0,30000,1,send,RFB--Z,6.15.0,True,9000,fn05,3,1,64,True,52590119.384615384,50331648,58720256,3720851.801621392,26,69.2307,67.0759,67.7651,0.5906,0.0459,1.4078,18.8395,1587885760,0.9788,0.9994,3.6748


1,30000,1,send,------,6.15.0,True,9000,fn05,3,1,64,True,61946643.692307696,58720256,67108864,4081093.4889707305,26,58.9055,56.9225,56.3356,0.3074,0.0257,1.3057,16.0280,1867056576,0.9564,0.9996,3.6752
1,30000,1,send,RF----,6.15.0,True,9000,fn05,3,1,64,True,67754141.53846154,67108864,75497472,2235306.96319673,26,53.5206,51.4963,53.1141,0.3363,0.0225,1.1587,14.5612,2055181120,0.9924,0.9996,3.6756
1,30000,1,send,RF---Z,6.15.0,True,9000,fn05,3,1,64,True,46782621.538461536,41943040,50331648,4144370.0296634976,26,77.5633,75.3719,74.8547,0.5796,0.0560,1.5311,21.1045,1417544000,0.9651,0.9994,3.6752
1,30000,1,send,RFB--Z,6.15.0,True,9000,fn05,3,1,64,True,52590119.384615384,50331648,58720256,3720851.801621392,26,69.3361,67.2133,67.6973,0.6180,0.0487,1.4072,18.8676,1585716096,0.9764,0.9994,3.6749
1,30000,1,send,------,6.15.0,True,9000,fn05,3,1,128,True,118731067.07692307,117440512,125829120,3026619.935860069,26,30.7641,29.7678,28.5998,0.1972,0.0182,0.6629,8.3711,3574640000,0.9297,0.9996,3.6750
1,30000,1,send,RF----,6.15.0,True,9000,fn05,3,1,128,True,130023424.0,125829120,134217728,4194304.0,26,28.1747,27.1634,27.0207,0.1975,0.0150,0.5906,7.6669,3902268416,0.9590,0.9996,3.6749
1,30000,1,send,RF---Z,6.15.0,True,9000,fn05,3,1,128,True,93242604.3076923,92274688,100663296,2680038.8995948257,26,39.1060,38.0355,37.8869,0.3076,0.0296,0.7733,10.6408,2811513344,0.9688,0.9994,3.6751
1,30000,1,send,RFB--Z,6.15.0,True,9000,fn05,3,1,128,True,105502877.53846154,100663296,109051904,4144370.0296634976,26,34.6992,33.6403,33.6235,0.3032,0.0354,0.6980,9.4426,3169141760,0.9690,0.9995,3.6748
1,30000,1,send,------,6.15.0,True,9000,fn05,3,1,256,True,226169777.23076922,218103808,226492416,1613193.8461538462,26,16.2423,15.7334,14.7642,0.1337,0.0108,0.3422,4.4199,6770581248,0.9090,0.9996,3.6748
1,30000,1,send,RF----,6.15.0,True,9000,fn05,3,1,256,True,242946993.23076922,234881024,243269632,1613193.8461538462,26,15.1089,14.5960,14.0105,0.1315,0.0112,0.3062,4.1117,7278560256,0.9273,0.9996,3.6747
1,30000,1,send,RF---Z,6.15.0,True,9000,fn05,3,1,256,True,187130486.15384614,184549376,192937984,3871665.230769231,26,19.5652,19.0361,18.9544,0.1467,0.0151,0.3863,5.3238,5620014592,0.9688,0.9994,3.6750
1,30000,1,send,RFB--Z,6.15.0,True,9000,fn05,3,1,256,True,217135891.69230768,209715200,218103808,2680038.8995948257,26,16.9027,16.3705,16.3505,0.1402,0.0207,0.3398,4.5999,6505684480,0.9673,0.9995,3.6746
1,30000,1,send,------,6.15.0,True,9000,fn05,3,1,512,True,387166523.0769231,385875968,394264576,3026619.935860069,26,9.4683,9.1986,8.1651,0.1073,0.0088,0.1890,2.5767,11612826624,0.8624,0.9996,3.6746
1,30000,1,send,RF----,6.15.0,True,9000,fn05,3,1,512,True,417817206.15384614,411041792,419430400,3306063.583497493,26,8.7863,8.5221,7.6794,0.1034,0.0087,0.1690,2.3912,12513312256,0.8740,0.9996,3.6744
1,30000,1,send,RF---Z,6.15.0,True,9000,fn05,3,1,512,True,372002500.9230769,369098752,377487360,3990821.1733732284,26,9.8586,9.5826,9.5424,0.0721,0.0092,0.1940,2.6828,11150401536,0.9679,0.9994,3.6747
1,30000,1,send,RFB--Z,6.15.0,True,9000,fn05,3,1,512,True,423302065.2307692,419430400,427819008,4181876.4052761355,26,8.6715,8.4047,8.4254,0.0761,0.0127,0.1742,2.3599,12677468160,0.9716,0.9995,3.6745
1,30000,1,send,------,6.15.0,True,9000,fn05,3,1,1024,True,667216974.7692307,662700032,671088640,4181876.4052761355,26,5.5000,5.3586,4.4552,0.0852,0.0069,0.1024,1.4969,19987465216,0.8100,0.9996,3.6742
1,30000,1,send,RF----,6.15.0,True,9000,fn05,3,1,1024,True,720452371.6923077,713031680,721420288,2680038.8995948257,26,5.0936,4.9565,4.2103,0.0827,0.0060,0.0923,1.3863,21582572544,0.8266,0.9995,3.6743
1,30000,1,send,RF---Z,6.15.0,True,9000,fn05,3,1,1024,True,600108110.7692307,595591168,603979776,4181876.4052761355,26,6.1174,5.9806,5.5118,0.0495,0.0053,0.1130,1.6644,17976579072,0.9010,0.9994,3.6754
1,30000,1,send,RFB--Z,6.15.0,True,9000,fn05,3,1,1024,True,728518340.9230769,721420288,729808896,3026619.935860069,26,5.0421,4.9062,4.5448,0.0419,0.0055,0.0936,1.3719,21806721024,0.9014,0.9996,3.6752
1,30000,1,send,------,6.15.0,True,9000,fn05,3,1,2048,True,1093100150.1538463,1090519040,1098907648,3871665.230769231,26,3.3584,3.2775,2.6902,0.0768,0.0044,0.0608,0.9140,32739332096,0.8010,0.9996,3.6742
1,30000,1,send,RF----,6.15.0,True,9000,fn05,3,1,2048,True,1022124824.7741935,0,1182793728,393464441.66472584,31,3.1202,3.0468,2.5336,0.0726,0.0044,0.0551,0.8492,35234250752,0.8120,0.9995,3.6741
1,30000,1,send,RF---Z,6.15.0,True,9000,fn05,3,1,2048,True,1087615291.0769231,1082130432,1090519040,3990821.1733732284,26,3.3782,3.3067,3.0080,0.0334,0.0033,0.0615,0.9192,32562814976,0.8904,0.9998,3.6754
1,30000,1,send,RFB--Z,6.15.0,True,9000,fn05,3,1,2048,True,1092977168.516129,0,1258291200,420933621.64259404,31,2.9196,2.8499,2.5750,0.0270,0.0032,0.0531,0.7944,37665554432,0.8820,0.9997,3.6752
1,30000,1,send,------,6.15.0,True,9000,fn05,3,1,4096,True,1478312993.032258,0,1711276032,569314900.8607454,31,2.1574,2.1136,1.6939,0.0683,0.0032,0.0375,0.5872,50961530880,0.7851,0.9996,3.6741
1,30000,1,send,RF----,6.15.0,True,9000,fn05,3,1,4096,True,1584377988.1290324,0,1828716544,610180533.1696763,31,2.0130,1.9678,1.5939,0.0662,0.0030,0.0343,0.5480,54627033088,0.7918,0.9997,3.6737
1,30000,1,send,RF---Z,6.15.0,True,9000,fn05,3,1,4096,True,1791935724.3076923,1786773504,1795162112,4081093.4889707305,26,2.0498,2.0130,1.8651,0.0193,0.0022,0.0375,0.5577,53652631552,0.9099,0.9996,3.6752
1,30000,1,send,RFB--Z,6.15.0,True,9000,fn05,3,1,4096,True,1799582356.6451614,0,2080374784,692909801.2659891,31,1.7727,1.7360,1.5723,0.0171,0.0023,0.0312,0.4823,62028177408,0.8870,0.9995,3.6752
1,30000,1,send,------,6.15.0,True,9000,fn05,3,1,8192,True,2506852215.4666667,0,2801795072,836154448.0370854,30,1.3147,1.2849,0.9846,0.0654,0.0022,0.0215,0.3579,83610951680,0.7489,0.9995,3.6738
1,30000,1,send,RF----,6.15.0,True,9000,fn05,3,1,8192,True,2527545410.064516,0,2919235584,973037836.4683664,31,1.2620,1.2346,0.9524,0.0635,0.0023,0.0202,0.3435,87111614464,0.7547,0.9995,3.6739
1,30000,1,send,RF---Z,6.15.0,True,9000,fn05,3,1,8192,True,2753201713.548387,0,3179282432,1059967888.2971541,31,1.1590,1.1387,1.0560,0.0117,0.0016,0.0209,0.3154,94887100416,0.9111,0.9995,3.6751
1,30000,1,send,RFB--Z,6.15.0,True,9000,fn05,3,1,8192,True,3155957958.193548,0,3640655872,1214857105.3927104,31,1.0106,0.9910,0.8905,0.0100,0.0016,0.0172,0.2750,108781830144,0.8811,0.9994,3.6749
1,30000,1,send,------,6.15.0,True,9000,fn05,3,1,16384,True,3580215296.0,0,4135583744,1378683160.469964,31,0.8905,0.8702,0.6234,0.0686,0.0017,0.0133,0.2424,123410202624,0.7001,0.9995,3.6736
1,30000,1,send,RF----,6.15.0,True,9000,fn05,3,1,16384,True,3681376454.193548,0,4253024256,1417609108.2900496,31,0.8663,0.8470,0.6096,0.0681,0.0017,0.0127,0.2358,126881742848,0.7037,0.9994,3.6736
1,30000,1,send,RF---Z,6.15.0,True,9000,fn05,3,1,16384,True,6114004676.923077,6090129408,6132072448,11324574.839968098,26,0.6003,0.5895,0.5932,0.0062,0.0010,0.0113,0.1634,183129325568,0.9882,0.9993,3.6745
1,30000,1,send,RFB--Z,6.15.0,True,9000,fn05,3,1,16384,True,6921844356.740741,6241124352,7340032000,312272152.9166818,27,0.4902,0.4804,0.4639,0.0049,0.0013,0.0084,0.1339,209492492288,0.9464,0.9373,3.6601
1,30000,1,send,------,6.15.0,True,9000,fn05,3,1,32768,True,5283120196.266666,0,5922357248,1763112855.549307,30,0.6234,0.6102,0.4330,0.0619,0.0015,0.0090,0.1697,176294232064,0.6945,0.9994,3.6734
