run,core_id,tcp,reg_ring,reg_fds,reg_bufs,napi,setup_mode,ping_size,resp_delay,duration,num_threads,pin_queues,rx_queue,kernel,mitigations,mtu,node,avg,min,max,std,samples
1,8,False,True,True,False,False,sqpoll,8,0,30000,1,True,18,6.15.0,True,9000,fn05,23230.791666666668,22780,23940,281.81221276568,240
1,8,False,True,True,False,False,sqpoll,8,0,30000,1,True,18,6.15.0,True,9000,fn06,23230.791666666668,22780,23940,281.81221276568,240
1,8,False,True,True,False,False,defer,8,0,30000,1,True,10,6.15.0,True,9000,fn05,25420.625,24840,27840,753.205389900391,240
1,8,False,True,True,False,False,defer,8,0,30000,1,True,10,6.15.0,True,9000,fn06,25420.625,24840,27840,753.205389900391,240
1,8,False,True,True,False,False,defer,8,0,30000,1,True,18,6.15.0,True,9000,fn05,29429.25,28390,32050,1277.3756707275534,240
1,8,False,True,True,False,False,defer,8,0,30000,1,True,18,6.15.0,True,9000,fn06,29429.25,28390,32050,1277.3756707275534,240
1,8,False,True,True,True,False,sqpoll,8,0,30000,1,True,10,6.15.0,True,9000,fn05,21339.208333333332,21090,21910,210.82130647514944,240
1,8,False,True,True,True,False,sqpoll,8,0,30000,1,True,10,6.15.0,True,9000,fn06,21339.208333333332,21090,21910,210.82130647514944,240
1,8,False,True,True,True,False,sqpoll,8,0,30000,1,True,18,6.15.0,True,9000,fn05,24000.541666666668,23420,26440,593.9824267298561,240
1,8,False,True,True,True,False,sqpoll,8,0,30000,1,True,18,6.15.0,True,9000,fn06,24000.541666666668,23420,26440,593.9824267298561,240
1,8,False,True,True,True,False,defer,8,0,30000,1,True,10,6.15.0,True,9000,fn05,25840.416666666668,25260,28310,731.5564410138761,240
1,8,False,True,True,True,False,defer,8,0,30000,1,True,10,6.15.0,True,9000,fn06,25840.416666666668,25260,28310,731.5564410138761,240
1,8,False,True,True,True,False,defer,8,0,30000,1,True,18,6.15.0,True,9000,fn05,29767.958333333332,28830,32510,1147.8020655135722,240
1,8,False,True,True,True,False,defer,8,0,30000,1,True,18,6.15.0,True,9000,fn06,29767.958333333332,28830,32510,1147.8020655135722,240
1,8,False,True,True,True,True,sqpoll,8,0,30000,1,True,10,6.15.0,True,9000,fn05,23960.791666666668,23640,24460,175.99892972370282,240
1,8,False,True,True,True,True,sqpoll,8,0,30000,1,True,10,6.15.0,True,9000,fn06,23960.791666666668,23640,24460,175.99892972370282,240
1,8,False,True,True,True,True,sqpoll,8,0,30000,1,True,18,6.15.0,True,9000,fn05,24660.791666666668,24020,25670,607.1077251448506,240
1,8,False,True,True,True,True,sqpoll,8,0,30000,1,True,18,6.15.0,True,9000,fn06,24660.791666666668,24020,25670,607.1077251448506,240
1,8,False,True,True,True,True,defer,8,0,30000,1,True,10,6.15.0,True,9000,fn05,18675.666666666668,18340,18940,144.8834780857439,240
1,8,False,True,True,True,True,defer,8,0,30000,1,True,10,6.15.0,True,9000,fn06,18675.666666666668,18340,18940,144.8834780857439,240
1,8,False,True,True,True,True,defer,8,0,30000,1,True,18,6.15.0,True,9000,fn05,19156.875,19000,19330,83.61509657352552,240
1,8,False,True,True,True,True,defer,8,0,30000,1,True,18,6.15.0,True,9000,fn06,19156.875,19000,19330,83.61509657352552,240
2,8,False,False,False,False,False,sqpoll,8,0,30000,1,True,10,6.15.0,True,9000,fn05,20830.333333333332,20570,21410,209.95211094173092,240
2,8,False,False,False,False,False,sqpoll,8,0,30000,1,True,10,6.15.0,True,9000,fn06,20830.333333333332,20570,21410,209.95211094173092,240
2,8,False,False,False,False,False,sqpoll,8,0,30000,1,True,18,6.15.0,True,9000,fn05,23419.833333333332,22890,25610,471.76262274815946,240
2,8,False,False,False,False,False,sqpoll,8,0,30000,1,True,18,6.15.0,True,9000,fn06,23419.833333333332,22890,25610,471.76262274815946,240
2,8,False,False,False,False,False,defer,8,0,30000,1,True,10,6.15.0,True,9000,fn05,25489.333333333332,25020,28100,635.8992757417553,240
2,8,False,False,False,False,False,defer,8,0,30000,1,True,10,6.15.0,True,9000,fn06,25489.333333333332,25020,28100,635.8992757417553,240
2,8,False,False,False,False,False,defer,8,0,30000,1,True,18,6.15.0,True,9000,fn05,29429.875,28460,32180,1182.9153538503929,240
2,8,False,False,False,False,False,defer,8,0,30000,1,True,18,6.15.0,True,9000,fn06,29429.875,28460,32180,1182.9153538503929,240
2,8,False,True,False,False,False,sqpoll,8,0,30000,1,True,10,6.15.0,True,9000,fn05,20809.25,20570,21430,207.15196716420533,240
2,8,False,True,False,False,False,sqpoll,8,0,30000,1,True,10,6.15.0,True,9000,fn06,20809.25,20570,21430,207.15196716420533,240
2,8,False,True,False,False,False,sqpoll,8,0,30000,1,True,18,6.15.0,True,9000,fn05,23464.8132780083,22830,25870,660.9932693033708,241
2,8,False,True,False,False,False,sqpoll,8,0,30000,1,True,18,6.15.0,True,9000,fn06,23464.8132780083,22830,25870,660.9932693033708,241
2,8,False,True,False,False,False,defer,8,0,30000,1,True,10,6.15.0,True,9000,fn05,25411.583333333332,24940,28040,649.9692246987972,240
2,8,False,True,False,False,False,defer,8,0,30000,1,True,10,6.15.0,True,9000,fn06,25411.583333333332,24940,28040,649.9692246987972,240
2,8,False,True,False,False,False,defer,8,0,30000,1,True,18,6.15.0,True,9000,fn05,29280.166666666668,28370,32140,1194.2856884161158,240
